Winner,Nominee,Not Nominated
3209000,3172000,5362000
2204000,"3,400,000",2872000
2204000,"2,856,000","2,179,000"
2518000,"1,510,000","1,875,000"
1626000,"1,473,000","1,782,000"
"10,377,000","1,895,000","1,775,000"
3105000,"2,056,000","1,612,000"
,"1,306,000","1,573,000"
,"3,905,000","3,294,000"
,"3,251,000","2,405,000"
,"2,060,000","1,879,000"
,"1,459,000","1,839,000"
,"2,747,000","1,460,000"
,"4,140,000","1,438,000"
,"2,187,000","1,357,000"
,"1,678,000","1,317,000"
,"2,045,000","3,226,000"
,"1,469,000","1,970,000"
,"1,396,000","1,936,000"
,"1,390,000","1,533,000"
,"2,075,000","1,505,000"
,,"1,403,000"
,,"1,342,000"
,,"2,632,000"
,,"2,198,000"
,,"2,032,000"
,,"1,990,000"
,,"1,860,000"
,,"1,792,000"
,,"1,522,000"
,,"1,475,000"
,,"3,001,000"
,,"2,191,000"
,,"1,587,000"
,,"1,380,000"
,,"1,249,000"
,,"1,213,000"
,,"1,201,000"
,,"2,499,000"
,,"1,985,000"
,,"1,637,000"
,,"1,599,000"
,,"1,481,000"
,,"1,388,000"
,,"2,764,000"
,,"2,336,000"
,,"2,227,000"
,,"1,564,000"
,,"1,438,000"
,,"1,408,000"
,,"1,254,000"
,,"1,220,000"
,,"1,966,000"
,,"1,732,000"
,,"1,421,000"
,,"1,327,000"
,,"1,126,000"
,,"1,070,000"
,,"4,471,000"
,,"2,225,000"
,,"2,206,000"
,,"1,919,000"
,,"1,795,000"
,,"1,741,000"
,,"1,378,000"
,,"1,295,000"
,,"4,399,000"
,,"1,514,000"
,,"1,503,000"
,,"1,481,000"
,,"1,341,000"